order_id,parent_id,date_created,date_created_gmt,num_items_sold,total_sales,tax_total,shipping_total,net_total,returning_customer,status,customer_id,date_paid,date_completed
216,0,2022-03-13 17:12:55,2022-03-13 17:12:55,1,172.0,0,100,72.0,1.0,wc-trash,1,0000-00-00 00:00:00,0000-00-00 00:00:00
217,0,2022-03-13 17:16:02,2022-03-13 17:16:02,1,190.0,0,100,90.0,1.0,wc-trash,1,0000-00-00 00:00:00,0000-00-00 00:00:00
2199,0,2022-03-14 09:44:17,2022-03-14 09:44:17,1,1500.0,0,100,1400.0,0.0,wc-completed,1,2022-03-14 03:45:06,2022-04-13 20:45:54
2642,0,2022-03-14 13:45:18,2022-03-14 13:45:18,1,1700.0,0,100,1600.0,0.0,wc-trash,2,0000-00-00 00:00:00,0000-00-00 00:00:00
2643,0,2022-03-14 13:48:14,2022-03-14 13:48:14,1,1550.0,0,100,1450.0,0.0,wc-trash,3,0000-00-00 00:00:00,0000-00-00 00:00:00
2655,0,2022-03-14 14:28:15,2022-03-14 14:28:15,1,1650.0,0,100,1550.0,0.0,wc-completed,4,2022-03-14 08:30:51,2022-04-27 07:28:32
2667,0,2022-03-14 14:57:14,2022-03-14 14:57:14,1,2600.0,0,1000,1600.0,0.0,wc-trash,5,0000-00-00 00:00:00,0000-00-00 00:00:00
2669,0,2022-03-14 15:41:56,2022-03-14 15:41:56,1,1750.0,0,100,1650.0,0.0,wc-trash,6,0000-00-00 00:00:00,0000-00-00 00:00:00
2670,0,2022-03-14 16:14:46,2022-03-14 16:14:46,1,1500.0,0,100,1400.0,0.0,wc-completed,7,2022-03-14 10:17:16,2022-04-25 03:55:04
2671,0,2022-03-14 16:50:00,2022-03-14 16:50:00,1,1700.0,0,100,1600.0,0.0,wc-completed,8,2022-03-14 10:53:08,2022-04-26 04:57:04
2687,0,2022-03-14 17:49:29,2022-03-14 17:49:29,1,2200.0,0,100,2100.0,0.0,wc-trash,9,0000-00-00 00:00:00,0000-00-00 00:00:00
2688,0,2022-03-14 17:50:11,2022-03-14 17:50:11,2,2900.0,0,100,2800.0,0.0,wc-completed,10,2022-03-14 11:51:15,2022-05-10 23:10:37
2689,0,2022-03-14 18:03:38,2022-03-14 18:03:38,3,6400.0,0,1000,5400.0,0.0,wc-trash,11,0000-00-00 00:00:00,0000-00-00 00:00:00
2690,0,2022-03-14 18:09:58,2022-03-14 18:09:58,1,2400.0,0,100,2300.0,0.0,wc-trash,12,0000-00-00 00:00:00,0000-00-00 00:00:00
2696,0,2022-03-14 18:55:18,2022-03-14 18:55:18,10,16450.0,0,1000,15450.0,0.0,wc-completed,13,2022-03-14 13:03:43,2022-05-04 02:23:16
