order_id,coupon_id,date_created,discount_amount
6532,6531,2022-05-11 03:24:45,320.0
6542,6531,2022-05-11 05:20:38,325.0
6545,6531,2022-05-11 05:53:41,500.0
6549,6531,2022-05-11 07:00:54,315.0
6550,6531,2022-05-11 07:28:03,325.0
6551,6531,2022-05-11 07:51:26,320.0
6554,6531,2022-05-11 08:25:32,325.0
6557,6531,2022-05-11 09:17:02,480.0
6565,6531,2022-05-11 13:02:05,255.0
6573,6531,2022-05-11 14:46:17,250.0
6574,6531,2022-05-11 14:50:11,345.0
6577,6531,2022-05-11 15:11:00,320.0
6585,6531,2022-05-11 16:57:05,295.0
6591,6531,2022-05-11 17:43:20,375.0
6598,6531,2022-05-11 23:04:29,320.0
6599,6531,2022-05-11 23:08:29,320.0
6600,6531,2022-05-11 23:52:18,300.0
6602,6531,2022-05-12 02:23:25,530.0
6603,6531,2022-05-12 02:51:43,405.0
6606,6531,2022-05-12 04:24:05,510.0
6683,6531,2022-05-12 12:13:52,455.0
6695,6531,2022-05-12 15:42:40,315.0
6697,6531,2022-05-12 16:18:27,310.0
6699,6531,2022-05-12 16:50:27,315.0
6702,6531,2022-05-12 17:37:59,365.0
6704,6531,2022-05-12 18:21:45,520.0
6707,6531,2022-05-12 21:33:04,460.0
6738,6531,2022-05-13 11:06:53,515.0
6750,6531,2022-05-13 16:54:16,425.0
10689,10682,2022-07-29 13:05:27,445.0
10696,10682,2022-07-29 13:36:13,465.0
10697,10682,2022-07-29 14:18:16,280.0
10707,10682,2022-07-29 16:43:53,310.0
10708,10682,2022-07-29 16:49:09,300.0
10710,10682,2022-07-29 17:03:25,310.0
10711,10682,2022-07-29 17:13:06,280.0
10721,10682,2022-07-30 04:38:04,300.0
10729,10682,2022-07-30 06:00:06,395.0
10737,10682,2022-07-30 08:38:51,1035.0
10769,10682,2022-07-30 17:54:21,315.0
10792,10682,2022-07-31 05:32:07,305.0
10797,10682,2022-07-31 06:03:59,325.0
10803,10682,2022-07-31 07:43:19,320.0
10804,10682,2022-07-31 08:16:23,355.0
10816,10682,2022-07-31 13:02:57,320.0
10818,10682,2022-07-31 13:32:42,315.0
10819,10682,2022-07-31 13:38:07,435.0
10823,10682,2022-07-31 14:12:15,735.0
10825,10682,2022-07-31 14:25:39,545.0
10829,10682,2022-07-31 15:58:20,410.0
10832,10682,2022-07-31 16:26:36,300.0
10836,10682,2022-07-31 16:33:44,650.0
10838,10682,2022-07-31 16:41:48,290.0
10845,10682,2022-07-31 18:22:43,305.0
10848,10682,2022-07-31 18:53:35,430.0
10905,10682,2022-08-02 02:22:44,465.0
10906,10682,2022-08-02 03:49:59,490.0
10915,10682,2022-08-02 05:51:55,490.0
10916,10682,2022-08-02 05:55:52,315.0
